timestep_time;edge_id;lane_id;vehicle_id;vehicle_pos;vehicle_speed
00:16:40;24962020#3;24962020#3_0;veh122;0.83;9.69
00:16:41;:601196771_3;:601196771_3_0;veh122;6.71;7.23
00:16:41;:675910449_10;:675910449_10_0;veh115;3.73;4.80
00:16:41;-288069073#2;-288069073#2_0;veh121;92.28;12.96
00:16:41;-53478584#2;-53478584#2_0;veh125;24.37;12.80
00:16:41;100289783#2;100289783#2_0;veh116;1.96;7.58
00:16:41;24037251#7;24037251#7_0;veh119;19.23;17.27
00:16:41;24235720#2;24235720#2_0;veh118;131.69;14.27
00:16:41;24496216;24496216_0;veh124;18.96;12.67
00:16:41;24510986#1;24510986#1_0;veh126;63.76;13.36
00:16:41;53478596#1;53478596#1_0;veh105;1.28;6.89
00:16:42;:675910441_4;:675910441_4_0;veh125;8.53;13.81
00:16:42;:675910449_18;:675910449_18_0;veh115;5.80;6.64
00:16:42;-288069073#2;-288069073#2_0;veh121;105.12;12.84
00:16:42;100289783#2;100289783#2_0;veh116;12.03;10.07
00:16:42;24037251#0;24037251#0_0;veh119;8.13;18.16
00:16:42;24235720#2;24235720#2_0;veh118;145.79;14.10
00:16:42;24496216;24496216_0;veh124;27.51;8.55
00:16:42;24510986#1;24510986#1_0;veh126;77.84;14.08
00:16:42;47160361#0;47160361#0_0;veh122;4.61;7.40
00:16:42;53478596#1;53478596#1_0;veh105;8.20;6.92
00:16:43;:1388268490_0;:1388268490_0_0;veh121;11.90;13.39
00:16:43;:266370249_1;:266370249_1_0;veh124;4.38;8.58
00:16:43;-53478584#1;-53478584#1_0;veh125;11.85;13.11
00:16:43;100289783#2;100289783#2_0;veh116;24.22;12.19
00:16:43;24235720#2;24235720#2_0;veh118;159.41;13.62
00:16:43;24235732#0;24235732#0_0;veh119;3.97;13.73
00:16:43;24510986#1;24510986#1_0;veh126;91.64;13.80
00:16:43;47160361#0;47160361#0_0;veh122;13.69;9.08
00:16:43;53478381#1;53478381#1_0;veh127;5.10;0.00
00:16:43;53478596#1;53478596#1_0;veh105;15.35;7.15
00:16:43;53478658#1;53478658#1_0;veh115;2.21;7.22
00:16:44;-288069073#1;-288069073#1_0;veh121;9.57;12.61
00:16:44;-53478584#1;-53478584#1_0;veh125;24.52;12.66
00:16:44;100289783#2;100289783#2_0;veh116;37.74;13.52
00:16:44;24037266#2;24037266#2_0;veh124;6.86;9.17
00:16:44;24235720#2;24235720#2_0;veh118;173.10;13.69
00:16:44;24235732#1;24235732#1_0;veh119;1.75;15.06
00:16:44;24510986#1;24510986#1_0;veh126;104.95;13.31
00:16:44;47160361#0;47160361#0_0;veh122;24.30;10.61
00:16:44;53478381#1;53478381#1_0;veh127;6.98;1.88
00:16:44;53478596#1;53478596#1_0;veh105;21.85;6.50
00:16:45;-288069073#1;-288069073#1_0;veh121;17.91;8.34
00:16:45;-53478584#1;-53478584#1_0;veh125;37.74;13.22
00:16:45;100289783#2;100289783#2_0;veh116;50.77;13.03
00:16:45;24037266#3;24037266#3_0;veh124;0.03;11.55
00:16:45;24235720#2;24235720#2_0;veh118;183.54;10.44
00:16:45;24235732#1;24235732#1_0;veh119;18.55;16.80
00:16:45;24510986#1;24510986#1_0;veh126;118.28;13.33
00:16:45;47160361#0;47160361#0_0;veh122;37.07;12.77
00:16:45;53478381#1;53478381#1_0;veh127;10.63;3.66
00:16:45;53478596#1;53478596#1_0;veh105;29.33;7.48
00:16:46;:260689794_1;:260689794_1_0;veh124;6.72;13.38
00:16:46;-288069073#1;-288069073#1_0;veh121;21.75;3.84
00:16:46;-53478584#1;-53478584#1_0;veh125;51.05;13.31
00:16:46;100289783#2;100289783#2_0;veh116;63.42;12.65
00:16:46;24235720#2;24235720#2_0;veh118;191.40;7.86
00:16:46;24235732#1;24235732#1_0;veh119;37.08;18.53
00:16:46;24510986#1;24510986#1_0;veh126;127.73;9.45
00:16:46;47160361#0;47160361#0_0;veh122;51.35;14.28
00:16:46;53478381#1;53478381#1_0;veh127;16.87;6.23
00:16:46;53478596#1;53478596#1_0;veh105;36.69;7.36
00:16:47;:262408845_2;:262408845_2_0;veh118;6.75;10.26
00:16:47;:cluster_1159196372_601196783_1;:cluster_1159196372_601196783_1_0;veh121;5.33;6.43
00:16:47;-24496199#7;-24496199#7_0;veh119;19.10;21.10
00:16:47;-53478584#1;-53478584#1_0;veh125;60.62;9.57
00:16:47;100289783#2;100289783#2_0;veh116;76.52;13.09
00:16:47;24037266#4;24037266#4_0;veh124;10.18;14.69
00:16:47;24510986#1;24510986#1_0;veh126;132.67;4.95
00:16:47;47160361#0;47160361#0_0;veh122;65.54;14.19
00:16:47;53478381#1;53478381#1_0;veh127;24.77;7.91
00:16:47;53478596#1;53478596#1_0;veh105;43.02;6.33
00:16:48;:675909826_4;:675909826_4_0;veh125;1.19;5.86
00:16:48;:cluster_1159196372_601196783_1;:cluster_1159196372_601196783_1_0;veh121;13.95;8.61
00:16:48;:cluster_1806902607_266555251_2;:cluster_1806902607_266555251_2_0;veh126;4.03;6.28
00:16:48;-24496199#7;-24496199#7_0;veh119;40.83;21.73
00:16:48;100289783#2;100289783#2_0;veh116;88.12;11.60
00:16:48;24037266#4;24037266#4_0;veh124;26.82;16.64
00:16:48;24496195#0;24496195#0_0;veh118;12.29;12.83
00:16:48;47160361#0;47160361#0_0;veh122;80.42;14.88
00:16:48;53478381#1;53478381#1_0;veh127;34.95;10.18
00:16:48;53478596#1;53478596#1_0;veh105;49.91;6.89
00:16:49;:10219452968_0;:10219452968_0_0;veh118;0.89;11.91
00:16:49;:675909826_10;:675909826_10_0;veh125;4.83;7.48
00:16:49;:9384346498_0;:9384346498_0_0;veh116;1.82;7.77
00:16:49;:cluster_1806902607_266555251_2;:cluster_1806902607_266555251_2_0;veh126;12.22;8.20
00:16:49;-24496199#0;-24496199#0_0;veh121;7.08;10.78
00:16:49;-24496199#7;-24496199#7_0;veh119;61.40;20.57
00:16:49;24037266#4;24037266#4_0;veh124;44.82;18.01
00:16:49;47160361#0;47160361#0_0;veh122;94.55;14.13
00:16:49;53478381#1;53478381#1_0;veh127;47.56;12.60
00:16:49;53478596#1;53478596#1_0;veh105;56.62;6.70
00:16:50;:1159196601_4;:1159196601_4_0;veh116;5.68;9.45
00:16:50;:260689798_1;:260689798_1_0;veh124;0.66;20.11
00:16:50;:cluster_675911985_675912004_9384514758_0;:cluster_675911985_675912004_9384514758_0_0;veh119;0.36;21.29
00:16:50;-24496199#0;-24496199#0_0;veh121;19.39;12.31
00:16:50;24496195#1;24496195#1_0;veh118;3.25;7.41
00:16:50;47160361#0;47160361#0_0;veh122;105.51;10.96
00:16:50;530526777#0;530526777#0_0;veh126;6.19;7.72
00:16:50;53478381#1;53478381#1_0;veh127;60.46;12.91
00:16:50;53478596#0;53478596#0_0;veh125;1.93;7.02
00:16:50;53478596#1;53478596#1_0;veh105;63.10;6.48
00:16:51;:1159196601_4;:1159196601_4_0;veh116;17.47;11.79
00:16:51;:260689797_0;:260689797_0_0;veh124;3.60;18.17
00:16:51;:266370164_0;:266370164_0_0;veh118;4.90;8.75
00:16:51;-24496199#0;-24496199#0_0;veh121;34.19;14.80
00:16:51;-24496199#5;-24496199#5_0;veh119;4.67;20.56
00:16:51;-288069073#2;-288069073#2_0;veh128;5.10;0.00
00:16:51;47160361#0;47160361#0_0;veh122;113.59;8.08
00:16:51;530526777#0;530526777#0_0;veh126;15.50;9.32
00:16:51;53478381#1;53478381#1_0;veh127;73.35;12.89
00:16:51;53478596#0;53478596#0_0;veh125;9.62;7.69
00:16:51;53478596#1;53478596#1_0;veh105;69.57;6.47
00:16:52;:1159196305_4;:1159196305_4_0;veh116;1.88;12.02
00:16:52;:266370170_0;:266370170_0_0;veh118;0.08;10.78
00:16:52;:601196779_9;:601196779_9_0;veh122;5.78;10.10
00:16:52;:cluster_3326326443_3359278418_13;:cluster_3326326443_3359278418_13_0;veh119;2.38;20.98
00:16:52;-24496199#0;-24496199#0_0;veh121;51.37;17.18
00:16:52;-288069073#2;-288069073#2_0;veh128;7.15;2.05
00:16:52;24037267#0;24037267#0_0;veh124;8.96;13.69
00:16:52;530526777#0;530526777#0_0;veh126;27.31;11.81
00:16:52;53478381#1;53478381#1_0;veh127;86.00;12.65
00:16:52;53478596#0;53478596#0_0;veh125;17.26;7.65
00:16:52;53478596#1;53478596#1_0;veh105;76.74;7.17
00:16:53;-24496199#4;-24496199#4_0;veh119;13.70;20.69
00:16:53;-288069073#2;-288069073#2_0;veh128;11.36;4.21
